Serial No.,Human_Sentiment_Vader,ChatGPT_Sentiment_Vader,Gemini_Sentiment_Vader,Copilot_Sentiment_Vader,Claude_Sentiment_Vader,Perplexity_Sentiment_Vader,Human_Sentiment_TextBlob,ChatGPT_Sentiment_TextBlob,Gemini_Sentiment_TextBlob,Copilot_Sentiment_TextBlob,Claude_Sentiment_TextBlob,Perplexity_Sentiment_TextBlob,Human_Sentiment_FinBERT,ChatGPT_Sentiment_FinBERT,Gemini_Sentiment_FinBERT,Copilot_Sentiment_FinBERT,Claude_Sentiment_FinBERT,Perplexity_Sentiment_FinBERT
1,0.9514,0.9275,0.9231,0.7843,0.983,0.9662,0.1262085137085137,0.14838935574229692,0.1590909090909091,0.09166666666666667,0.13768115942028986,0.08311688311688312,0,0,1,1,2,0
2,0.9933,0.8826,0.1027,0.9726,0.99,0.9864,0.1904212454212454,0.11666666666666665,0.11944444444444444,-0.04285714285714286,0.09383116883116882,0.10536130536130536,0,0,1,1,0,0
3,0.9501,0.6808,0.9307,0.8646,0.9787,0.9818,0.2737202380952381,0.036904761904761905,0.18333333333333335,0.07222222222222222,0.20575757575757572,0.07276785714285716,1,1,1,1,1,1
4,0.2258,0.9872,-0.319,0.0772,0.9954,0.9696,0.01863636363636364,0.141017316017316,0.0,0.07142857142857142,0.04006410256410257,0.13240740740740742,0,1,0,1,0,1
5,0.996,0.976,0.9661,0.9944,0.9847,0.927,0.17482993197278912,0.1609375,0.14776785714285715,0.17923611111111112,0.117018837018837,0.1525974025974026,0,1,0,1,1,1
6,0.9796,0.9752,0.9559,0.743,0.9559,0.9524,0.05982142857142858,0.0987603305785124,0.08579545454545454,0.016774891774891772,0.11054421768707481,0.13113636363636363,0,1,1,1,1,1
7,0.8462,0.5854,0.9702,0.9455,0.9886,0.9042,0.25,0.20357142857142857,0.28095238095238095,0.12733175914994097,0.1934210526315789,0.1694805194805195,0,1,1,1,1,1
8,0.9617,0.9622,0.9623,0.969,0.9889,0.8591,0.28481937602627266,0.18384848484848484,0.1623376623376623,0.23714285714285716,0.18587301587301586,0.24812499999999998,0,1,1,1,1,1
9,0.874,0.8978,0.7845,0.0129,0.9591,0.4091,0.3836734693877551,0.04047619047619048,0.1611832611832612,0.12012987012987013,0.17991522366522364,0.2033333333333333,2,2,1,0,1,0
10,0.5351,0.6236,0.9059,0.8126,0.9788,0.9524,0.2863945578231292,0.20461538461538462,0.21012396694214877,0.2,0.17607709750566894,0.17777777777777776,1,1,1,1,1,2
11,0.7572,0.9851,0.9652,0.9477,0.9984,0.9578,0.2629591836734694,0.20641025641025643,0.3351851851851852,0.3444444444444444,0.19291125541125542,0.19999999999999998,0,1,1,1,1,1
12,0.009,0.9615,0.8979,0.7003,0.9729,0.8779,0.07896825396825397,0.11636363636363636,0.2929499072356215,0.18727272727272726,0.24317689885871704,0.19272727272727272,0,2,2,2,0,2
13,0.1655,0.986,0.9744,0.8955,0.9545,0.9801,0.0024999999999999966,0.3933333333333333,0.3407407407407408,0.31156462585034017,0.28148148148148144,0.24270833333333333,1,1,1,1,1,1
14,0.9867,0.9863,0.9356,0.9752,0.9214,0.9427,0.2207936507936508,0.07202380952380953,0.09166666666666667,0.0934065934065934,0.18973214285714285,0.07055555555555555,0,1,1,1,1,1
15,0.9861,0.9753,0.886,0.891,0.9771,0.9274,0.17993403421974852,0.2148809523809524,0.22232142857142861,0.15000000000000002,0.19464285714285715,0.06666666666666668,0,1,2,0,1,0
16,-0.6258,0.848,0.34,0.2732,0.7003,0.5413,0.04267724867724866,0.07833333333333334,0.018087121212121214,0.04772727272727273,0.11433566433566433,0.09772727272727272,2,0,1,0,0,2
17,0.9537,0.7938,0.6124,0.8284,0.8718,0.3612,0.07013655462184873,0.15883838383838383,0.04,0.4777777777777778,0.09561688311688311,0.028571428571428567,0,2,2,1,2,1
18,0.8329,0.9727,0.9155,0.8201,0.9617,0.9013,0.10163690476190478,0.10529100529100528,0.1375,0.056994047619047625,0.22291666666666668,0.010714285714285707,0,1,1,0,1,1
19,0.9886,0.9634,0.9968,0.8591,0.9895,0.9761,0.12134672619047616,0.20952380952380956,0.208030303030303,0.10069444444444443,0.20833333333333334,0.1464285714285714,0,1,1,1,1,1
20,0.6943,0.8934,0.946,0.8481,0.9169,0.9697,0.1984126984126984,0.04,0.11590909090909092,0.061111111111111116,0.06666666666666667,0.15,0,0,1,0,1,2
21,0.1365,0.984,0.9664,0.9201,0.9244,0.9167,0.10843167701863354,0.38,0.35876623376623373,0.1421875,0.025,0.13749999999999998,0,0,1,1,1,0
22,0.7108,0.9624,0.9744,0.9589,0.9441,0.9245,0.009843314580156684,0.4408163265306122,0.15740740740740738,0.13547619047619047,0.1301948051948052,0.15401785714285715,0,1,1,1,1,0
